YEAR,MONTH,DISTRICT,Brightness,Confidence,ThermalData,FRP,Fire_Count
2012,5,SINDHUPALCHOK,312.14,50.4,295.26,63.0,5
2012,5,SURKHET,321.44897959183675,62.6530612244898,303.8234693877551,1322.3,98
2012,5,TANAHU,301.3,39.0,290.9,4.4,1
2012,6,ACHHAM,323.05,75.6,300.58000000000004,256.4,10
2012,6,ARGHAKHANCHI,315.1,91.0,293.4,15.6,1
2012,6,BAITADI,324.74,64.4,306.64,68.3,5
2012,6,BANKE,307.9,70.0,297.2,4.0,1
2012,6,BARDIYA,333.85,76.5,312.15,25.299999999999997,2
2012,6,DADELDHURA,326.575,59.875,308.2125,104.4,8
2012,6,DAILEKH,303.15,50.0,290.95,16.9,2
2012,6,DOTI,316.5625,53.0,300.0125,136.3,8
2012,6,HUMLA,323.95,55.0,300.65,54.3,2
2012,6,JAJARKOT,332.40000000000003,69.0,308.8666666666667,186.5,6
2012,6,JUMLA,319.375,52.625,295.3125,144.70000000000002,8
2012,6,KAILALI,322.5307692307692,66.23076923076923,304.5692307692308,188.2,13
2012,6,KALIKOT,324.53333333333336,69.83333333333333,296.95,387.9,6
2012,6,KANCHANPUR,322.95,45.0,304.25,64.8,2
2012,6,MYAGDI,327.06666666666666,71.33333333333333,292.4666666666667,136.20000000000002,3
2012,6,PALPA,323.7,68.0,304.6,9.6,1
2012,6,PYUTHAN,312.4,60.3,296.93,81.5,10
2012,6,ROLPA,332.8,64.0,307.4,22.1,1
2012,6,RUKUM,329.43999999999994,59.8,308.03999999999996,189.60000000000002,5
2012,6,RUPANDEHI,350.1,93.0,309.2,38.6,1
2012,6,SALYAN,320.5869565217391,65.91304347826087,302.1521739130435,399.7,23
2012,6,SURKHET,317.95,70.45833333333333,300.0833333333333,515.6,24
2012,7,MUGU,316.0,35.0,295.3,49.8,1
2012,9,RUPANDEHI,317.3,32.0,301.6,8.0,1
2012,10,BARA,314.29999999999995,65.5,302.15,22.8,2
2012,10,BHOJPUR,316.7,63.0,306.2,9.1,1
2012,10,CHITAWAN,309.3,26.0,295.9,4.6,1
2012,10,DADELDHURA,304.5,20.0,292.0,3.2,1
2012,10,KAPILBASTU,313.1,63.0,300.3,7.0,1
2012,10,RUKUM,317.6,70.0,293.2,35.6,1
2012,10,TAPLEJUNG,302.1,21.5,284.6,14.0,2
2012,11,ACHHAM,304.0,22.0,291.5,3.9,1
2012,11,BAGLUNG,332.6,88.0,286.6,73.5,1
2012,11,BAJHANG,312.71999999999997,55.1,287.53000000000003,311.2,10
2012,11,BAJURA,307.48333333333335,58.166666666666664,285.9166666666667,101.5,6
2012,11,BARA,313.1,68.0,298.0,10.2,1
